RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
1	-2650956	-3659386	65.939848	-17.580524	65:56:23N	17:34:50W	28WCU8263015619	NQ27-11	S	FRM		IC	40				N				NIPA	Nípá	Nipa	NIPA	Nípá	Nipa		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2650923	-3659347	65.903327	-18.11836	65:54:12N	18:07:06W	27WXP3124612148	NQ27-11	S	FRM		IC	40				N				NES	Nes	Nes	NES	Nes	Nes		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2650922	-3659346	65.737419	-17.916788	65:44:15N	17:55:00W	28WCT6629693746	NQ27-11	S	FRM		IC	40				N				NES	Nes	Nes	NES	Nes	Nes		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2650879	-3651853	66.160221	-17.848488	66:09:37N	17:50:55W	28WCU7156440690	NQ27-07	S	FRM		IC	40				V				FLATEY	Flatey	Flatey	FLATEY	Flatey	Flatey		2011-02-09	1,2,3,4,5				1993-09-01		
1	-2650879	-3659300	66.160221	-17.848488	66:09:37N	17:50:55W	28WCU7156440690	NQ27-07	S	FRM		IC	40				N				NEDHRIBAER	Neðribær	Nedhribaer	NEDHRIBAER	Neðribær	Nedhribaer		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2646862	-3654903	65.857347	-17.403537	65:51:26N	17:24:13W	28WCU9032406109	NQ27-11	S	FRM		IC	40				N				HOLMAVADH	Hólmavað	Holmavadh	HOLMAVADH	Hólmavað	Holmavadh		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2646823	-3654863	65.81659	-17.556523	65:49:00N	17:33:23W	28WCU8316101845	NQ27-11	S	FRM		IC	40				N				HOLL	Hóll	Holl	HOLL	Hóll	Holl		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2646794	-3654834	65.799722	-17.441915	65:47:59N	17:26:31W	28WCT8832499758	NQ27-11	S	FRM		IC	40				N				HOLKOT	Hólkot	Holkot	HOLKOT	Hólkot	Holkot		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	83770	103365	66.433333	-15.883333	66:26:00N	15:53:00W	28WDU6059168490	NQ27-07	T	RK		IC	40				N			Sker	FAXASKER	Faxasker	Faxasker	FAXASKER	Faxasker	Faxasker		2011-02-09	1,2,3	1			1995-09-05		
1	-2653490	-3662251	66.261486	-15.665284	66:15:41N	15:39:55W	28WDU7011549215	NQ27-07	T	RKS		IC	40				N				STAKKAR	Stakkar	Stakkar	STAKKAR	Stakkar	Stakkar		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2653616	-3662393	66.395983	-16.511009	66:23:46N	16:30:40W	28WDU3249164864	NQ27-07	T	RKS		IC	40				V				STEKKJARFLUDH	Stekkjarflúð	Stekkjarfludh	STEKKJARFLUDH	Stekkjarflúð	Stekkjarfludh		2011-02-09	1,2,3,4,5				1995-09-05		
1	-2653616	103343	66.395983	-16.511009	66:23:46N	16:30:40W	28WDU3249164864	NQ27-07	T	RKS		IC	40				N			Flúð	STEKKJAFLUDH	Stekkjaflúð	Stekkjafludh	STEKKJAFLUDH	Stekkjaflúð	Stekkjafludh		2011-02-09	1,2,3,4,5	1			1995-09-05		
1	-2652885	-3661586	66.501869	-16.332806	66:30:07N	16:19:58W	28WDU4070376484	NQ27-07	T	RKS		IC	40				N				SKERGARDHUR	Skergarður	Skergardhur	SKERGARDHUR	Skergarður	Skergardhur		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2653239	-3661974	65.866667	-16.316667	65:52:00N	16:19:00W	28WDU3993305678	NQ27-11	S	RUIN		IC	40				N				SMJORBITILL	Smjörbítill	Smjorbitill	SMJORBITILL	Smjörbítill	Smjorbitill		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2654033	-3662854	65.940031	-15.368179	65:56:24N	15:22:05W	28WDU8325013275	NQ27-12	S	RUIN		IC	40				N				SURTUR	Surtur	Surtur	SURTUR	Surtur	Surtur		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2649189	-3657462	66.169642	-16.127366	66:10:11N	16:07:39W	28WDU4917539276	NQ27-07	S	RUIN		IC	40				N				KVIAR	Kvíar	Kviar	KVIAR	Kvíar	Kviar		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2645089	-3652951	65.629235	-15.930778	65:37:45N	15:55:51W	28WDT5714478902	NQ27-12	H	RVN		IC	40				N				GRASAFJALLSGIL	Grasafjallsgil	Grasafjallsgil	GRASAFJALLSGIL	Grasafjallsgil	Grasafjallsgil		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2643110	-3650766	65.683014	-15.822128	65:40:59N	15:49:20W	28WDT6222584826	NQ27-12	H	RVN		IC	40				N				DAUDHAGIL	Dauðagil	Daudhagil	DAUDHAGIL	Dauðagil	Daudhagil		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2651222	-3659691	65.525276	-16.121267	65:31:31N	16:07:17W	28WDT4816867459	NQ27-11	H	RVN		IC	40				N				OFAERUGIL	Ófærugil	Ofaerugil	OFAERUGIL	Ófærugil	Ofaerugil		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2645748	-3653680	65.657512	-15.863517	65:39:27N	15:51:49W	28WDT6028482009	NQ27-12	H	RVN		IC	40				N				HALLDORSGIL	Halldórsgil	Halldorsgil	HALLDORSGIL	Halldórsgil	Halldorsgil		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2655661	-3664638	66.034296	-16.067407	66:02:03N	16:04:03W	28WDU5162124145	NQ27-07	H	RVN		IC	40				N				VEGAGIL	Vegagil	Vegagil	VEGAGIL	Vegagil	Vegagil		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2642739	-3650359	65.643354	-17.171565	65:38:36N	17:10:18W	28WDT0008181883	NQ27-11	S	FRM		IC	40				N				BRETTINGSSTADHIR	Brettingsstaðir	Brettingsstadhir	BRETTINGSSTADHIR	Brettingsstaðir	Brettingsstadhir		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2642719	-3650338	65.588981	-17.401415	65:35:20N	17:24:05W	28WCT8927876211	NQ27-11	S	FRM		IC	40				N				BRENNIAS	Brenniás	Brennias	BRENNIAS	Brenniás	Brennias		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2642689	-3650307	65.874081	-17.305635	65:52:27N	17:18:20W	28WCU9485807806	NQ27-11	S	FRM		IC	40				N				BREKKNAKOT	Brekknakot	Brekknakot	BREKKNAKOT	Brekknakot	Brekknakot		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2642673	-3650290	65.839164	-17.3342	65:50:21N	17:20:03W	28WCU9341203964	NQ27-11	S	FRM		IC	40				N				BREKKA	Brekka	Brekka	BREKKA	Brekka	Brekka		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2642610	-3650220	65.737568	-17.4003	65:44:15N	17:24:01W	28WCT8996292761	NQ27-11	S	FRM		IC	40				N				BREIDHAMYRI	Breiðamýri	Breidhamyri	BREIDHAMYRI	Breiðamýri	Breidhamyri		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2642610	-3650363	65.737568	-17.4003	65:44:15N	17:24:01W	28WCT8996292761	NQ27-11	S	FRM		IC	40				V				BRIEDAMYRI	Briedamyri	Briedamyri	BRIEDAMYRI	Briedamyri	Briedamyri		2011-02-09	1,2,3,4,5				1993-09-01		
1	-2650846	-3659266	66.008291	-17.676769	66:00:30N	17:40:36W	28WCU7858023426	NQ27-07	S	FRM		IC	40				N				NAUSTAVIK	Naustavík	Naustavik	NAUSTAVIK	Naustavík	Naustavik		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2650821	-3659238	65.678015	-17.350463	65:40:41N	17:21:02W	28WCT9199786041	NQ27-11	S	FRM		IC	40				N				NARFASTADHIR	Narfastaðir	Narfastadhir	NARFASTADHIR	Narfastaðir	Narfastadhir		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2650819	-3659236	65.679347	-17.395676	65:40:46N	17:23:44W	28WCT8992686267	NQ27-11	S	FRM		IC	40				N				NARFASTADHASEL	Narfastaðasel	Narfastadhasel	NARFASTADHASEL	Narfastaðasel	Narfastadhasel		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2650788	-3659201	65.375473	-17.388341	65:22:32N	17:23:18W	28WCT8897852405	NQ27-11	S	FRM		IC	40				N				MYRI	Mýri	Myri	MYRI	Mýri	Myri		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2650742	-3659153	65.826077	-17.432786	65:49:34N	17:25:58W	28WCU8885502677	NQ27-11	S	FRM		IC	40				N				MYLAUGSSTADHIR	Mýlaugsstaðir	Mylaugsstadhir	MYLAUGSSTADHIR	Mýlaugsstaðir	Mylaugsstadhir		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2650714	-3659119	65.818528	-17.357066	65:49:07N	17:21:25W	28WCU9228101705	NQ27-11	S	FRM		IC	40				N				MULI	Múli	Muli	MULI	Múli	Muli		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2646643	-3654678	65.916	-18.158526	65:54:58N	18:09:31W	27WXP2935313476	NQ27-11	S	FRM		IC	40				V				HOFDI	Höfdi	Hofdi	HOFDI	Höfdi	Hofdi		2011-02-09	1,2,3,4,5				1993-09-01		
1	-2646643	-3654642	65.916	-18.158526	65:54:58N	18:09:31W	27WXP2935313476	NQ27-11	S	FRM		IC	40				V				HOFA	Hofa	Hofa	HOFA	Hofa	Hofa		2011-02-09	1,2,3,4,5				1993-09-01		
